Ubigeo,Departamento,Total,Hombre,Mujer
010000,Amazonas,429483,221120,208363
020000,Áncash,1194156,602365,591791
030000,Apurímac,429720,220056,209664
040000,Arequipa,1553994,764294,789700
050000,Ayacucho,670579,344027,326552
060000,"Cajamarca ",1454217,727379,726838
070000,"Prov. Const. del Callao ",1171648,569609,602039
080000,Cusco,1380594,698994,681600
090000,Huancavelica,350845,177239,173606
100000,"Huánuco ",755213,381802,373411
110000,Ica,1020050,511605,508445
120000,Junín,1374221,685022,689199
130000,"La Libertad",2077345,1030226,1047119
140000,Lambayeque,1338994,651779,687215
150000,Lima,10986006,5287993,5698013
160000,Loreto,1044884,539472,505412
170000,"Madre de Dios",185478,104515,80963
180000,Moquegua,197337,105351,91986
190000,Pasco,269296,139126,130170
200000,"Piura ",2103099,1059719,1043380
210000,Puno,1226353,606165,620188
220000,"San Martín",924384,486091,438293
230000,Tacna,384222,195261,188961
240000,Tumbes,259556,139910,119646
250000,Ucayali,615024,320587,294437
