Ubigeo,Departamento,Total,Hombre,Mujer
010000,Amazonas,407690,210686,197004
020000,Áncash,1096255,547686,548569
030000,Apurímac,433185,220431,212754
040000,Arequipa,1193532,585624,607908
050000,Ayacucho,646037,324920,321117
060000,"Cajamarca ",1438622,720372,718250
070000,"Prov. Const. del Callao ",901322,443721,457601
080000,Cusco,1217657,614085,603572
090000,Huancavelica,456583,226760,229823
100000,"Huánuco ",782170,395163,387007
110000,Ica,742449,370186,372263
120000,Junín,1276943,636674,640269
130000,"La Libertad",1676529,832100,844429
140000,Lambayeque,1146267,558116,588151
150000,Lima,8651486,4198873,4452613
160000,Loreto,921230,477935,443295
170000,"Madre de Dios",116809,66898,49911
180000,Moquegua,166010,87742,78268
190000,Pasco,284235,145547,138688
200000,"Piura ",1735948,866569,869379
210000,Puno,1293426,641998,651428
220000,"San Martín",758083,407251,350832
230000,Tacna,298538,151157,147381
240000,Tumbes,206864,111810,95054
250000,Ucayali,452502,237974,214528
