Ubigeo,Departamento,Total,Hombre,Mujer
010000,Amazonas,398011,205924,192087
020000,Áncash,1084571,537442,547129
030000,Apurímac,434840,219632,215208
040000,Arequipa,1097941,543055,554886
050000,Ayacucho,604281,299182,305099
060000,"Cajamarca ",1433471,715142,718329
070000,"Prov. Const. del Callao ",794219,395975,398244
080000,Cusco,1188334,600521,587813
090000,Huancavelica,456075,223723,232352
100000,"Huánuco ",766818,386139,380679
110000,Ica,677796,335081,342715
120000,Junín,1236259,617192,619067
130000,"La Libertad",1528905,755244,773661
140000,Lambayeque,1088328,529348,558980
150000,Lima,7785389,3796072,3989317
160000,Loreto,860760,445312,415448
170000,"Madre de Dios",93235,52999,40236
180000,Moquegua,153368,80991,72377
190000,Pasco,274982,138711,136271
200000,"Piura ",1627629,813068,814561
210000,Puno,1259766,625574,634192
220000,"San Martín",686542,370117,316425
230000,Tacna,268601,137601,131000
240000,Tumbes,188377,101830,86547
250000,Ucayali,401644,212671,188973
